(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07TLYBGV7,B07TLYBGV7,"Happy 30th Birthday Decorations for Him, Dirty Thirty Birthday Beverage Can Cooler Sleeves, Insulated Holder Gift Ideas and Party Favors for Men, 12-Pack, Black & Gold",30THCANCOOLERS12PK-NEW,42,18.18%,59,20.07%,100.00%,30,0,71.43%,0.00%,$539.70,$0.00,21,0
B07SFXXJKL,B07SFXXJKL,"Happy 40th Birthday Decorations for Men, Insulated Can Beverage Sleeve, Birthday Party Favors for Him, 40 Year Old Birthday Gift Ideas, 12-Pack, Black & Gold",40THCANCOOLERS12PK-NEW,34,14.72%,45,15.31%,100.00%,29,2,85.29%,5.88%,$503.52,$35.78,18,1
B07NLD3D9H,B07NLD3D9H,"Happy 50th Birthday Party Decorations for Men, Insulated Can Coolers as Dad's Birthday Decorations and Party Favors, Beer Sleeves 50th Birthday Gifts for Men, 12-Pack, Black & Gold",50THCOOLERS12PK-NEW,25,10.82%,31,10.54%,96.77%,12,0,48.00%,0.00%,$215.88,$0.00,8,0
B07TRPHFLT,B07NCZF98B,"Retirement Gifts for Men & Women - Beverage Can Coolers - Vacation Beer Sleeves for Retirement Party Decorations & Supplies, Retired Gift Ideas - Insulated Drink Holder with Palm Tree Design, 6-Pack",RETIREMENTCOOLERS6PK,28,12.12%,30,10.20%,100.00%,8,0,28.57%,0.00%,$127.92,$0.00,7,0
B08CD3HTCF,B08CD3HTCF,"Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold",HBYL12PK-NEW,17,7.36%,25,8.50%,100.00%,10,0,58.82%,0.00%,$179.90,$0.00,7,0
B08FXSX2BZ,B07WDKX1K4,"Bachelor Party Decorations for Men - Groomsmen & Groom Beverage Can Cooler Sleeves & Party Game - Bachelor Party Favors for Wedding, Insulated Holders, 13 Pack, Black and Gold",BACHELOR13CANPK,23,9.96%,28,9.52%,96.43%,6,0,26.09%,0.00%,$107.94,$0.00,6,0
B07QX99H18,B07QX99H18,"Gold Coastal Beverage Can Coolers & Heart Bottle Opener, 2 Pack",MRMRSCOOLERS2PK,9,3.90%,9,3.06%,100.00%,4,0,44.44%,0.00%,$39.96,$0.00,4,0
B07H7MFZ8R,B07H7MFZ8R,"Fishing Gifts For Men & Women Can Cooler 6-Pack, Insulated Beer Sleeves Bundle for Bass, Trout, Saltwater and Fly Fishing, Patriotic Gift for Dad, Grandpa, Brother, Boyfriend [Navy Blue American Flag]",ZS-DQP0-LB7B,1,0.43%,1,0.34%,100.00%,3,0,300.00%,0.00%,$44.97,$0.00,2,0
B07JRDYPF8,B07JRDYPF8,"Firefighter Gifts for Men - Thin Red Line Beverage Can Cooler Sleeves, Fireman Gifts, Insulated Beer Holder with Red Stripe American Flag, Fire Department Gift Ideas, Fire Fighter Accessory, 6-Pack",GW-3I8L-Q5Q4,9,3.90%,13,4.42%,100.00%,2,0,22.22%,0.00%,$29.98,$0.00,2,0
B08FXSX2BZ,B07Y5PBS86,"Bachelorette Party Favors - 13 Pack Bridal Shower Decor Can Coolers with Party Game - Bachelorette Gifts for Bride, 13 Beer Can Insulated Sleeves Bachelorette Party Supplies, White, Pink with Gold",YC-O9BL-ETGD,17,7.36%,25,8.50%,84.00%,2,0,11.76%,0.00%,$35.98,$0.00,2,0
B07JQHNLFZ,B07JQHNLFZ,"Police Officer Gifts for Men - Thin Blue Line Beverage Can Cooler Sleeves - Law Enforcement Blue Lives Matter Insulated Beer Holder with Blue Stripe American Flag - Police Department Ideas, 6-Pack",II-Z6VA-0B45,12,5.19%,13,4.42%,100.00%,1,0,8.33%,0.00%,$14.99,$0.00,1,0
B07VBJ8G8F,B07VBJ8G8F,"60th Birthday Decor and Party Favors, Beverage Sleeves Gift for Dad's 60th Birthday Party, Decorations and Party Supply, 60s Birthday Decorations for Men, 12-Pack, Black & Gold",60THCANCOOLERS12PK-NEW,10,4.33%,10,3.40%,100.00%,2,0,20.00%,0.00%,$35.98,$0.00,1,0
B08CD3RRN2,B08CD3RRN2,"21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold",21CANCOOLERS12PK-NEW,4,1.73%,5,1.70%,100.00%,1,0,25.00%,0.00%,$17.99,$0.00,1,0